"","gene.symbol","organ.specificity.list"
"868","IDS","Skeleton;Endocrine/Metabolic;Brain/Cognition;GI tract"
"869","SPRED1","Skin"
"870","TGIF1","Brain/Cognition"
"871","BCS1L","Skeleton;Endocrine/Metabolic;GI tract"
"872","AIPL1","Eye: Retina;Eye"
"873","PHF6","Face;Brain/Cognition"
"874","ODAD1","Respiratory tract"
"875","KIF1A","Peripheral nerves;Brain/Cognition,Peripheral nerves"
"876","FAM20C","Skeleton;Brain/Cognition"
"877","GRM6","Eye"
"878","SNRPE","Hair/Nails"
"879","RAF1","Skin;Skeleton;Brain/Cognition;Ear"
"880","SRD5A3","Endocrine/Metabolic;Brain/Cognition"
"881","IGF1R","Endocrine/Metabolic,Endocrine/Metabolic"
"882","IARS2","Endocrine/Metabolic;Brain/Cognition"
"883","CAPN10","Brain/Cognition"
"884","FAM161A","Eye: Retina;Eye"
"885","MID1","Face;Brain/Cognition"
"886","PNPT1","Ear,Ear"
"887","PLCE1","Kidney Renal Tract"
"888","VLDLR","Skeleton;Brain/Cognition"
"889","MEF2C","Face;Brain/Cognition"
"890","SOBP","Face;Brain/Cognition;Eye"
"891","MSX2","Skeleton,Skeleton"
"892","ZNF599","Brain/Cognition"
"893","NLGN4X","Brain/Cognition"
"894","ALDH7A1","Brain/Cognition"
"895","NMNAT1","Eye: Retina;Eye"
"896","TUBB4A","Brain/Cognition"
"897","AK2","Bone Marrow/Immune;Ear"
"898","HSD3B7","Endocrine/Metabolic;GI tract"
"899","EGR2","Spinal cord/Peripheral nerves"
"900","ZMYM6","Brain/Cognition"
"901","SIX6","Eye"
"902","CC2D2A","Eye: Retina;Skeleton;GI tract;Kidney Renal Tract;Liver;Brain/Cognition;Eye: Lens;Eye: Structure"
"903","IGSF1","Endocrine/Metabolic;Genitalia"
"904","ERCC6L2","Bone Marrow/Immune;Brain/Cognition"
"905","CEP57","Bone Marrow/Immune;Brain/Cognition"
"906","HPSE2","Kidney Renal Tract;Face"
"907","NLGN3","Brain/Cognition"
"908","IRX5","Bone Marrow/Immune;Face;Skeleton;Brain/Cognition"
"909","KIF7","Brain/Cognition,Brain/Cognition"
"910","LMBRD1","Skeleton;Endocrine/Metabolic;Heart/Cardiovasculature/Lymphatic"
"911","RMRP","Skeleton"
"912","LAMP2","Musculature;Heart/Cardiovasculature/Lymphatic"
"913","GAD1","Brain/Cognition"
"914","HNF4A","Kidney Renal Tract;Endocrine/Metabolic,Kidney Renal Tract;Endocrine/Metabolic"
"915","LTBP2","Eye"
"916","MAPK10","Brain/Cognition"
"917","OTX2","Endocrine/Metabolic;Brain/Cognition;Eye"
"918","UQCRQ","Endocrine/Metabolic;Brain/Cognition"
"919","ERCC6","Skeleton;Brain/Cognition;Eye"
"920","DIP2B","Brain/Cognition"
"921","GATA2","Bone Marrow/Immune;Heart/Cardiovasculature/Lymphatic"
"922","SDHAF1","Endocrine/Metabolic;Brain/Cognition"
"923","FBN1","Skeleton;Eye;Heart/Cardiovasculature/Lymphatic,Skeleton;Eye;Heart/Cardiovasculature/Lymphatic,Skeleton;Eye;Heart/Cardiovasculature/Lymphatic,Unknown"
"924","ATP8B1","Endocrine/Metabolic;GI tract"
"925","SECISBP2","Endocrine"
"926","MAN2B1","Bone Marrow/Immune;Skeleton;GI tract;Eye;Skin;Face;Endocrine/Metabolic;Hair/Nails;Brain/Cognition;Genitalia;Ear;Teeth and Dentition"
"927","RAD51C","Bone Marrow/Immune;Skeleton;Brain/Cognition"
"928","FOXG1","Brain/Cognition"
"929","CCNA2","Brain/Cognition"
"930","ADNP","Brain/Cognition"
"931","NDUFAF2","Endocrine/Metabolic;Brain/Cognition"
"932","IGBP1","Skeleton;Face;Eye: Structure;Brain/Cognition;Eye;Eye: Optic nerve"
"933","GCH1","Endocrine/Metabolic;Brain/Cognition,Endocrine/Metabolic;Brain/Cognition"
"934","TRPV4","Skeleton,Skeleton"
"935","LIG4","Bone Marrow/Immune;Brain/Cognition"
"936","COA5","Endocrine/Metabolic;Brain/Cognition;GI tract;Heart/Cardiovasculature/Lymphatic"
"937","COL25A1","Spinal cord/Peripheral nerves;Eye"
"938","KCNH1","Skeleton;Brain/Cognition"
"939","IFIH1","Bone Marrow/Immune;Skin;Skeleton;Brain/Cognition;Eye;Teeth and Dentition,Bone Marrow/Immune;Skin;Skeleton;Brain/Cognition;Eye;Teeth and Dentition"
"940","SIX3","Brain/Cognition"
"941","CHRNA4","Brain/Cognition"
"942","PCDH19","Brain/Cognition"
"943","TBX4","Skeleton,Lungs;Skeleton"
"944","MKS1","Kidney Renal Tract;Skeleton;Brain/Cognition;Eye"
"945","GNPTAB","Skeleton;Endocrine/Metabolic;Brain/Cognition"
"946","HEXA","Endocrine/Metabolic;Brain/Cognition"
"947","ATP6V1B1","Kidney Renal Tract;Ear"
"948","RSPH1","Respiratory tract"
"949","SMAD4","Skeleton;GI tract;Heart/Cardiovasculature/Lymphatic,Skeleton;GI tract;Heart/Cardiovasculature/Lymphatic"
"950","CPLANE1","Brain/Cognition"
"951","ALX4","Face;Skeleton,Face;Skeleton"
"952","SCO2","Endocrine/Metabolic;Brain/Cognition"
"953","CCNO","Respiratory tract"
"954","RAPSN","Musculature;Spinal cord/Peripheral nerves;Brain/Cognition"
"955","WDPCP","Kidney Renal Tract;Skeleton;Brain/Cognition;Eye"
"956","ALX3","Face"
"957","FREM1","Skin;Kidney Renal Tract;Skeleton;Brain/Cognition;Eye;GI tract"
"958","CKAP2L","Face;Skeleton;Brain/Cognition"
"959","ATP1A3","Brain/Cognition"
"960","PEX14","Endocrine/Metabolic;Brain/Cognition;Eye;GI tract;Ear"
"961","UBE3A","Spinal cord/Peripheral nerves;Skeleton;Face;GI tract;Brain/Cognition"
"962","POLR3B","Endocrine/Metabolic;Brain/Cognition;Teeth and Dentition,Endocrine/Metabolic;Brain/Cognition;Teeth and Dentition,Peripheral nerves;Brain/Cognition"
"963","SEC23A","Skeleton;Eye: Lens;Eye"
"964","WNT5A","Face;Skeleton"
"965","MAMLD1","Genitalia"
"966","POMT2","Musculature;Brain/Cognition;Eye"
"967","STT3A","Brain/Cognition,Unknown"
"968","UBE3B","Skin;Skeleton;Brain/Cognition;GI tract"
"969","JAK3","Bone Marrow/Immune"
"970","AP4S1","Brain/Cognition"
"971","COX10","Musculature;Endocrine/Metabolic;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"972","PEX2","Spinal cord/Peripheral nerves;Skeleton;Eye;GI tract;Musculature;Kidney Renal Tract;Endocrine/Metabolic;Brain/Cognition;Ear"
"973","ALG3","Endocrine/Metabolic;Brain/Cognition"
"974","KIF2A","Brain/Cognition"
"975","NDE1","Brain/Cognition"
"976","KANSL1","Brain/Cognition"
"977","ALDH1A3","Eye: Retina;Eye: Structure;Brain/Cognition;Eye"
"978","THAP1","Brain/Cognition"
"979","SOS1","Skin;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"980","HAX1","Bone Marrow/Immune"
"981","COX14","Endocrine/Metabolic;Brain/Cognition"
"982","ITGA7","Musculature"
"983","TSPAN7","Brain/Cognition"
"984","MYOC","Eye"
"985","CASP2","Brain/Cognition"
"986","MBD5","Brain/Cognition"
"987","RPE65","Eye"
"988","CUL4B","Brain/Cognition;Genitalia"
"989","RASA1","Skeleton;Heart/Cardiovasculature/Lymphatic"
"990","TMCO1","Face;Skeleton;Brain/Cognition"
"991","NOG","Skeleton"
"992","AKT3","Brain/Cognition"
"993","FOLR1","Endocrine/Metabolic;Brain/Cognition"
"994","PAPSS2","Skeleton;Endocrine/Metabolic"
"995","TRIO","Brain/Cognition"
"996","ASH1L","Brain/Cognition"
"997","SDHA","Endocrine/Metabolic;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"998","TSHR","Endocrine/Metabolic,Endocrine/Metabolic"
"999","COL9A3","Musculature;Skeleton,Face;Skeleton;Eye: Physiology;Eye;Brain/Cognition;Ear"
"1000","GRIA3","Brain/Cognition"
"1001","PHIP","Face;Brain/Cognition"
"1002","ERCC5","Skin;Skeleton;Spinal cord/Peripheral nerves;Brain/Cognition;Eye;Ear"
"1003","VDR","Skeleton;GI tract;Musculature;Skin;Endocrine/Metabolic;Hair/Nails;Brain/Cognition;Ear;Teeth and Dentition"
"1004","PRSS56","Eye"
"1005","TUFM","Endocrine/Metabolic;Brain/Cognition"
"1006","GRIN1","Brain/Cognition,Unknown"
"1007","PIGT","Skeleton;Endocrine/Metabolic;Brain/Cognition;Eye"
"1008","MIR184","Eye: Cornea;Eye: Lens;Eye"
"1009","SPG11","Brain/Cognition"
"1010","TGFBR1","Face;Skeleton;Heart/Cardiovasculature/Lymphatic"
"1011","HPRT1","Skin;Kidney Renal Tract;Skeleton;Endocrine/Metabolic;Brain/Cognition;Genitalia"
"1012","TYRP1","Skin;Eye: Retina;Eye;Eye: Optic nerve"
"1013","PAK3","Brain/Cognition,Brain/Cognition"
"1014","CSPP1","Skeleton;Brain/Cognition"
"1015","EMX2","Brain/Cognition"
"1016","ALG2","Endocrine/Metabolic;Brain/Cognition"
"1017","TACO1","Endocrine/Metabolic;Brain/Cognition"
"1018","CCND2","Skeleton;Brain/Cognition"
"1019","SKIC3","Skin;GI tract"
"1020","P3H1","Skeleton"
"1021","SOX2","Endocrine/Metabolic;Brain/Cognition;Eye;GI tract"
"1022","GNAI3","Face;Ear"
"1023","STXBP1","Brain/Cognition"
"1024","ALDH4A1","Endocrine/Metabolic;Brain/Cognition"
"1025","CRYBA4","Eye"
"1026","RBPJ","Skin;Skeleton"
"1027","TBCE","Bone Marrow/Immune;Skeleton;Brain/Cognition,Spinal cord/Peripheral nerves;Brain/Cognition"
"1028","MTM1","Musculature"
"1029","ERBB3","Eye: Vitreous;Eye: Retina;Skeleton;Spinal cord/Peripheral nerves;Eye: Physiology;Heart/Cardiovasculature/Lymphatic,GI tract"
"1030","CTDP1","Musculature;Spinal cord/Peripheral nerves;Brain/Cognition;Eye"
"1031","LFNG","Skeleton"
"1032","CA5A","Endocrine/Metabolic"
"1033","MAN1B1","Brain/Cognition"
"1034","LONP1","Skeleton;Brain/Cognition;GI tract;Ear;Genitalia;Heart/Cardiovasculature/Lymphatic,Unknown"
"1035","NSMCE3","Respiratory tract"
"1036","CRELD1","GI tract;Heart/Cardiovasculature/Lymphatic"
"1037","ACAD9","Endocrine/Metabolic;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1038","SPR","Brain/Cognition"
"1039","GABBR2","Brain/Cognition"
"1040","SMOC2","Teeth and Dentition"
"1041","MCEE","Multisystem"
"1042","CNKSR2","Brain/Cognition"
"1043","EDN1","Face;Ear,Ear"
"1044","ATIC","Endocrine/Metabolic;Brain/Cognition"
"1045","AP4E1","Brain/Cognition"
"1046","ESCO2","Face;Skeleton;Brain/Cognition"
"1047","NDUFS4","Endocrine/Metabolic;Brain/Cognition"
"1048","ERMARD","Brain/Cognition"
"1049","KPTN","Brain/Cognition"
"1050","CPS1","Endocrine/Metabolic;Brain/Cognition"
"1051","INPPL1","Skeleton"
"1052","MC2R","Endocrine/Metabolic"
"1053","GLB1","Endocrine/Metabolic;Brain/Cognition"
"1054","DYRK1A","Face;Brain/Cognition"
"1055","ACTA1","Musculature"
"1056","PREPL","Kidney Renal Tract;Endocrine/Metabolic;Brain/Cognition"
"1057","RIGI","Skin;Skeleton;Eye;Teeth and Dentition"
"1058","POMGNT2","Brain/Cognition;Eye"
"1059","TM4SF20","Brain/Cognition"
"1060","CERT1","Brain/Cognition"
"1061","AKT1","Skin;Skeleton;Heart/Cardiovasculature/Lymphatic"
"1062","PITX1","Skeleton,Skeleton"
"1063","LAMB1","Brain/Cognition"
"1064","BCKDHB","Endocrine/Metabolic;Brain/Cognition"
"1065","TAFAZZIN","Endocrine/Metabolic;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1066","MTR","Bone Marrow/Immune;Endocrine/Metabolic;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1067","MYCN","Skeleton;Brain/Cognition;GI tract;Ear"
"1068","ACP5","Bone Marrow/Immune;Skeleton"
"1069","FTSJ1","Brain/Cognition"
"1070","GBA2","Brain/Cognition"
"1071","IL1RAPL1","Brain/Cognition"
"1072","ST3GAL5","Brain/Cognition"
"1073","RBM8A","Bone Marrow/Immune;Skeleton"
"1074","SRGAP3","Brain/Cognition"
"1075","KCNJ10","Endocrine/Metabolic;Brain/Cognition;Ear"
"1076","PLOD2","Skeleton"
"1077","COL18A1","Skin;Eye: Vitreous;Eye: Retina;Skeleton;Eye: Physiology;Brain/Cognition;Eye"
"1078","COG4","Endocrine/Metabolic;Brain/Cognition,Bone Marrow/Immune;Liver;Face;Skeleton;Multisystem;Eye;Ear"
"1079","TYR","Skin;Eye: Retina;Hair/Nails;Eye;Eye: Optic nerve"
"1080","GDF1","Heart/Cardiovasculature/Lymphatic"
"1081","IGHMBP2","Musculature;Respiratory tract"
"1082","TUBA1A","Brain/Cognition"
"1083","KLF1","Bone Marrow/Immune"
"1084","MLC1","Brain/Cognition"
"1085","CRB1","Eye"
"1086","TGFB2","Heart/Cardiovasculature/Lymphatic"
"1087","DNAAF5","Respiratory tract"
"1088","RYR3","Brain/Cognition"
"1089","ACSL4","Face;Brain/Cognition"
"1090","TRAPPC11","Musculature;Brain/Cognition"
"1091","SPEG","Musculature;Heart/Cardiovasculature/Lymphatic"
"1092","HIBCH","Endocrine/Metabolic;Brain/Cognition"
"1093","SCO1","Musculature;Endocrine/Metabolic;Brain/Cognition;GI tract;Heart/Cardiovasculature/Lymphatic"
"1094","LHX3","Skeleton;Endocrine/Metabolic;Ear"
"1095","NHP2","Skin;Endocrine/Metabolic"
"1096","UROS","Skin"
"1097","HSPG2","Musculature;Skeleton"
"1098","SHANK2","Brain/Cognition"
"1099","NEB","Musculature;Spinal cord/Peripheral nerves"
"1100","L2HGDH","Endocrine/Metabolic;Brain/Cognition"
"1101","FGF9","Skeleton;Ear"
"1102","FANCM","Bone Marrow/Immune;Skeleton;Cancer predisposition"
"1103","RAB3GAP2","Brain/Cognition;Eye;Genitalia"
"1104","TGDS","Face;Skeleton"
"1105","LBR","Bone Marrow/Immune;Skeleton;Brain/Cognition"
"1106","SEC23B","Bone Marrow/Immune"
"1107","MTOR","Face;Brain/Cognition"
"1108","HOXA13","Skeleton;Genitalia"
"1109","SLC27A4","Skin;Respiratory tract"
"1110","ALDH3A2","Brain/Cognition"
"1111","TBX22","Face"
"1112","HPS1","Bone Marrow/Immune;Skin"
"1113","GK","Endocrine/Metabolic"
"1114","TUBB2B","Brain/Cognition"
"1115","RPGRIP1L","Skeleton;Eye: Retina;Eye;GI tract;Kidney Renal Tract;Liver;Face;Brain/Cognition;Eye: Structure"
"1116","CCDC103","Lungs;GI tract;Heart/Cardiovasculature/Lymphatic"
"1117","STT3B","Endocrine/Metabolic;Brain/Cognition"
"1118","CLPB","Bone Marrow/Immune;Endocrine/Metabolic;Eye: Lens;Brain/Cognition;Eye"
"1119","RBM10","Face;Brain/Cognition"
"1120","EFTUD2","Face;Brain/Cognition;Genitalia"
"1121","FASN","Brain/Cognition"
"1122","APTX","Spinal cord/Peripheral nerves;Brain/Cognition;Eye"
"1123","MCCC1","Endocrine/Metabolic;Brain/Cognition"
"1124","SLC35D1","Skeleton"
"1125","NPHP1","Kidney Renal Tract;Eye"
"1126","PMS2","Bone Marrow/Immune;Musculature;Skin;Skeleton;Brain/Cognition;GI tract"
"1127","TAB2","Heart/Cardiovasculature/Lymphatic"
"1128","LTBP3","Skeleton;Teeth and Dentition"
"1129","PHGDH","Endocrine/Metabolic;Brain/Cognition"
"1130","ZCCHC8","Brain/Cognition"
"1131","KDM6B","Brain/Cognition,Unknown"
"1132","GJA8","Eye"
"1133","IFT80","Skeleton"
"1134","FKBP14","Musculature;Skin;Skeleton;Ear"
"1135","FOXC2","Hair/Nails;Eye;Heart/Cardiovasculature/Lymphatic"
"1136","LINS1","Brain/Cognition"
"1137","DLD","Endocrine/Metabolic;Brain/Cognition"
"1138","PAX8","Endocrine/Metabolic;Brain/Cognition"
"1139","PDE4D","Skeleton"
"1140","EVC2","Skeleton;Teeth and Dentition;Heart/Cardiovasculature/Lymphatic"
"1141","TRAPPC9","Brain/Cognition"
"1142","CTNNB1","Brain/Cognition"
"1143","ZNF713","Brain/Cognition"
"1144","KDM5C","Face;Brain/Cognition"
"1145","FLT4","Heart/Cardiovasculature/Lymphatic,Heart/Cardiovasculature/Lymphatic"
"1146","SMAD2","Heart/Cardiovasculature/Lymphatic"
"1147","CACNA1G","Brain/Cognition,Unknown"
"1148","MPV17","Endocrine/Metabolic;GI tract"
"1149","TSC1","Skin;Kidney Renal Tract;Brain/Cognition"
"1150","ALG13","Brain/Cognition"
"1151","SEC24D","Face;Skeleton"
"1152","SYN1","Brain/Cognition"
"1153","CCDC22","Brain/Cognition"
"1154","SKI","Skeleton;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1155","DGAT1","GI tract"
"1156","DCHS1","Brain/Cognition"
"1157","POLR1D","Face;Ear"
"1158","ACVR1","Musculature;Skeleton"
"1159","PHOX2B","Endocrine/Metabolic;Brain/Cognition;GI tract"
"1160","ST14","Skin"
"1161","BRWD3","Brain/Cognition"
"1162","WDR62","Brain/Cognition"
"1163","PEX10","Kidney Renal Tract;Skeleton;Endocrine/Metabolic;Brain/Cognition;GI tract"
"1164","PPP2R5D","Brain/Cognition"
"1165","B9D1","Skeleton;Brain/Cognition"
"1166","ERCC8","Eye: Cornea;Skin;Eye: Retina;Skeleton;Eye: Lens;Brain/Cognition"
"1167","COL4A2","Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1168","DKC1","Bone Marrow/Immune;Skin;Skeleton;Endocrine/Metabolic;Brain/Cognition"
"1169","NPC1","Endocrine/Metabolic;Brain/Cognition"
"1170","GJA3","Eye"
"1171","DPM1","Endocrine/Metabolic;Brain/Cognition"
"1172","DLG3","Brain/Cognition"
"1173","STAR","Genitalia"
"1174","GALE","Endocrine/Metabolic;Brain/Cognition;Eye;GI tract;Ear"
"1175","MMACHC","Skeleton;Endocrine/Metabolic;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1176","FYCO1","Eye"
"1177","BBS2","Eye: Retina;Skeleton;Eye;Endocrine;Kidney Renal Tract;Brain/Cognition;Genitalia;Heart/Cardiovasculature/Lymphatic"
"1178","COA8","Eye: Retina;Endocrine/Metabolic;Brain/Cognition;Eye: Optic nerve"
"1179","FBXL4","Endocrine/Metabolic;Brain/Cognition"
"1180","FBP1","Endocrine/Metabolic"
"1181","AGXT","Kidney Renal Tract;Endocrine/Metabolic"
"1182","CFAP298","Respiratory tract"
"1183","TUSC3","Brain/Cognition"
"1184","TSEN2","Brain/Cognition"
"1185","LRIG2","Kidney Renal Tract;Face"
"1186","SNIP1","Skeleton;Brain/Cognition"
"1187","PCYT1A","Eye: Retina;Skeleton;Eye"
"1188","ZSWIM6","Face;Skeleton"
"1189","MAP2K2","Skin;Skeleton;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1190","CAPRIN1","Brain/Cognition"
"1191","MMP14","Skeleton"
"1192","TAF2","Brain/Cognition"
"1193","RAB23","Skeleton;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1194","TMPRSS6","Bone Marrow/Immune"
"1195","HMGCS2","Endocrine/Metabolic"
"1196","ASS1","Endocrine/Metabolic"
"1197","POLG","Brain/Cognition"
"1198","VPS33B","Kidney Renal Tract;Skeleton;GI tract"
"1199","DCDC2","Kidney Renal Tract;GI tract"
"1200","RNASET2","Brain/Cognition"
"1201","MGP","Skeleton;Brain/Cognition;Ear;Heart/Cardiovasculature/Lymphatic"
"1202","PLA2G6","Brain/Cognition"
"1203","TCOF1","Face;Ear"
"1204","DOCK7","Brain/Cognition"
"1205","AIMP1","Brain/Cognition"
"1206","HDAC4","Skeleton;Brain/Cognition,Unknown"
"1207","CRBN","Brain/Cognition"
"1208","MYH3","Musculature;Skeleton,Skeleton"
"1209","SYNGAP1","Brain/Cognition"
"1210","ROGDI","Brain/Cognition;Teeth and Dentition"
"1211","NRAS","Skin;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1212","NBN","Bone Marrow/Immune;Skeleton"
"1213","LMX1B","Skin;Skeleton"
"1214","ACAT1","Endocrine/Metabolic"
"1215","TSHB","Endocrine/Metabolic;Brain/Cognition"
"1216","COX15","Musculature;Endocrine/Metabolic;Brain/Cognition;GI tract;Heart/Cardiovasculature/Lymphatic"
"1217","KDM5A","Brain/Cognition"
"1218","PDE6H","Eye: Retina;Eye,Eye: Retina;Eye"
"1219","DIS3L2","Cancer predisposition"
"1220","GTF2H5","Bone Marrow/Immune;Skin;Brain/Cognition"
"1221","HYAL1","Skeleton;Endocrine/Metabolic"
"1222","HCFC1","Brain/Cognition,Brain/Cognition"
"1223","RNF168","Bone Marrow/Immune;Face;Brain/Cognition"
"1224","CEP83","Kidney Renal Tract;Brain/Cognition"
"1225","CHD8","Brain/Cognition"
"1226","CYP1B1","Eye: Structure;Eye;Eye: Optic nerve"
"1227","SF3B4","Face"
"1228","HNRNPU","Brain/Cognition"
"1229","ATP8A2","Brain/Cognition"
"1230","BTD","Skin;Endocrine/Metabolic;Brain/Cognition;Ear"
"1231","SYP","Brain/Cognition"
"1232","UROC1","Endocrine/Metabolic;Brain/Cognition"
"1233","IGFBP7","Eye;Heart/Cardiovasculature/Lymphatic"
"1234","IVD","Endocrine/Metabolic;Brain/Cognition"
"1235","LRIT3","Eye"
"1236","SIL1","Skeleton;Endocrine/Metabolic;Brain/Cognition;Eye"
"1237","SOX5","Brain/Cognition"
"1238","PORCN","Skin;Skeleton"
"1239","TGFBR2","Face;Skeleton;Heart/Cardiovasculature/Lymphatic"
"1240","FKTN","Musculature;Brain/Cognition;Eye"
"1241","NAA15","Heart/Cardiovasculature/Lymphatic"
"1242","BBS7","Endocrine;Kidney Renal Tract;Eye: Retina;Skeleton;Brain/Cognition;Eye"
"1243","PTH","Skeleton"
"1244","ETHE1","Endocrine/Metabolic;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1245","CTSK","Skeleton"
"1246","CCDC8","Skeleton;Brain/Cognition"
"1247","LIPN","Skin"
"1248","SLC24A1","Eye"
"1249","ATM","Bone Marrow/Immune;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1250","TMEM70","Endocrine/Metabolic;Brain/Cognition"
"1251","PGM1","Face;Endocrine/Metabolic"
"1252","NEK1","Skeleton"
"1253","FOXP1","Brain/Cognition"
"1254","SMARCAL1","Bone Marrow/Immune;Skeleton;Eye;Skin;Kidney Renal Tract;Face;Endocrine/Metabolic;Brain/Cognition;Hair/Nails;Teeth and Dentition"
"1255","CHD7","Eye: Retina;Skeleton;GI tract;Eye;Endocrine;Kidney Renal Tract;Face;Brain/Cognition;Eye: Structure;Genitalia;Ear;Heart/Cardiovasculature/Lymphatic"
"1256","SPECC1L","Face"
"1257","DHCR7","Face;Skeleton;Endocrine/Metabolic;Eye: Lens;Brain/Cognition;Ear;Genitalia"
"1258","PNKP","Brain/Cognition"
"1259","RSPH3","Unknown"
"1260","ITPR1","Brain/Cognition,Eye;Brain/Cognition,Brain/Cognition;Eye"
"1261","LARP7","Skin;Face;Brain/Cognition;Teeth and Dentition;Heart/Cardiovasculature/Lymphatic"
"1262","KMT2A","Skin;Skeleton;Brain/Cognition"
"1263","CYB5R3","Bone Marrow/Immune;Endocrine/Metabolic;Brain/Cognition"
"1264","CRADD","Brain/Cognition"
"1265","PHF8","Brain/Cognition"
"1266","ARSL","Skeleton;Brain/Cognition"
"1267","GRM1","Brain/Cognition"
"1268","STIL","Brain/Cognition"
"1269","PIGN","Brain/Cognition"
"1270","BIN1","Musculature"
"1271","DARS1","Brain/Cognition"
"1272","SRPX2","Brain/Cognition"
"1273","CDKN1C","Endocrine/Metabolic;Cancer predisposition,Endocrine;Skeleton"
"1274","CHD2","Brain/Cognition"
"1275","CHM","Eye: Retina;Eye"
"1276","PTCH1","Skin;Brain/Cognition,Skin;Brain/Cognition"
"1277","BMPR1B","Skeleton"
"1278","PEX5","Kidney Renal Tract;Skeleton;Endocrine/Metabolic;Brain/Cognition;GI tract"
"1279","MAF","Face;Eye;Brain/Cognition"
"1280","MMUT","Endocrine/Metabolic;Brain/Cognition"
"1281","TSHZ1","Ear"
"1282","PACS1","Brain/Cognition"
"1283","GSPT2","Brain/Cognition"
"1284","GLIS3","Kidney Renal Tract;Endocrine/Metabolic"
"1285","RNF113A","Skin;Skeleton;Brain/Cognition"
"1286","PPP2R1A","Brain/Cognition"
"1287","KIF4A","Brain/Cognition"
"1288","MAOA","Brain/Cognition"
"1289","MEGF8","Skeleton;GI tract;Heart/Cardiovasculature/Lymphatic"
"1290","SKIC2","Skin;GI tract"
"1291","BBS12","Eye: Retina;Skeleton;Eye;Endocrine;Kidney Renal Tract;Brain/Cognition;Ear;Genitalia;Heart/Cardiovasculature/Lymphatic"
"1292","ODAPH","Teeth and Dentition"
"1293","AFF4","Brain/Cognition"
"1294","IFITM5","Skeleton"
"1295","NPC2","Endocrine/Metabolic;Brain/Cognition"
"1296","SLC9A9","Brain/Cognition"
"1297","CIC","Brain/Cognition"
"1298","EIF4A3","Face;Skeleton"
"1299","CACNA1H","Brain/Cognition"
"1300","ST3GAL3","Brain/Cognition"
"1301","CLCN4","Brain/Cognition"
"1302","ATP6AP2","Brain/Cognition"
"1303","SLC33A1","Endocrine/Metabolic;Eye;Ear"
"1304","FGD1","Face;Skeleton;Genitalia"
"1305","PRMT9","Brain/Cognition"
"1306","HPGD","Skeleton"
"1307","PEX7","Skeleton;Eye;GI tract;Skin;Face;Endocrine/Metabolic;Brain/Cognition;Hair/Nails;Ear"
"1308","COQ8A","Musculature;Endocrine/Metabolic;Brain/Cognition"
"1309","XPA","Bone Marrow/Immune;Skin;Spinal cord/Peripheral nerves;Skeleton;Brain/Cognition;Eye;Genitalia"
"1310","TDRD7","Eye"
"1311","TTI2","Brain/Cognition"
"1312","NODAL","GI tract;Heart/Cardiovasculature/Lymphatic"
"1313","FIG4","Skeleton;Spinal cord/Peripheral nerves;Brain/Cognition"
"1314","BLM","Bone Marrow/Immune;Skin;Face;Skeleton;Respiratory tract;Brain/Cognition;Genitalia"
"1315","TMEM135","Brain/Cognition"
"1316","GABRG2","Unknown"
"1317","MEOX1","Skeleton"
"1318","NKX2-1","Endocrine/Metabolic;Brain/Cognition;Respiratory tract"
"1319","IL11","Skeleton;Teeth and Dentition"
"1320","AMT","Endocrine/Metabolic;Brain/Cognition"
"1321","XPNPEP3","Kidney Renal Tract"
"1322","CUL7","Skeleton;Brain/Cognition"
"1323","SCN1B","Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1324","RAB3GAP1","Brain/Cognition;Eye;Genitalia"
"1325","EDNRB","Multisystem"
"1326","COMP","Skeleton"
"1327","SDCCAG8","Endocrine;Kidney Renal Tract;Eye: Retina;Brain/Cognition;Eye;Genitalia"
"1328","NPHP3","Kidney Renal Tract;GI tract"
"1329","NFIX","Skeleton;Brain/Cognition;Respiratory tract"
"1330","ATP6V1B2","Skin;Brain/Cognition;Teeth and Dentition"
"1331","PQBP1","Brain/Cognition;Eye;Genitalia"
"1332","MCPH1","Brain/Cognition"
"1333","NEXMIF","Brain/Cognition,Skeleton;Brain/Cognition"
"1334","SPAG1","Respiratory tract"
"1335","GLE1","Skeleton;Spinal cord/Peripheral nerves"
"1336","CCDC39","Multisystem"
"1337","NUBPL","Endocrine/Metabolic;Brain/Cognition"
"1338","MYH9","Bone Marrow/Immune"
"1339","ITGA6","Skin;GI tract"
"1340","GPC6","Skeleton"
"1341","POMP","Skin"
